City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
273,Bintulu,MY,3.1667,113.0333,77.61,90,100,4.21,overcast clouds
274,Klaksvik,FO,62.2266,-6.589,43.72,80,100,26.17,overcast clouds
275,Leopold,AU,-38.1833,144.4667,73.96,94,75,1.99,thunderstorm with rain
276,Kavieng,PG,-2.5744,150.7967,85.19,66,74,7.96,broken clouds
277,Dingle,PH,10.9995,122.6711,85.5,68,89,7.76,overcast clouds
278,Esperance,AU,-33.8667,121.9,71.55,55,6,14.0,clear sky
279,Hasaki,JP,35.7333,140.8333,48.6,68,100,4.07,overcast clouds
280,Hit,IQ,33.6416,42.8251,42.01,72,4,7.9,clear sky
281,Macultepec,MX,18.1667,-92.8333,71.1,91,43,3.29,scattered clouds
282,Asau,RO,46.4333,26.4,34.72,90,95,7.65,overcast clouds
283,Bismarck,US,46.8083,-100.7837,13.06,79,100,4.61,overcast clouds
284,Black River,JM,18.0264,-77.8487,75.2,86,4,3.04,clear sky
285,La Ronge,CA,55.1001,-105.2842,-6.29,100,94,2.33,overcast clouds
286,Ossora,RU,59.2353,163.0719,30.96,97,100,30.09,snow
287,Tevriz,RU,57.509,72.4042,1.53,98,71,4.21,broken clouds
288,Lisieux,FR,49.1667,0.1667,42.31,90,5,1.39,clear sky
289,Ridgecrest,US,35.6225,-117.6709,49.42,30,0,8.05,clear sky
290,Kavaratti,IN,10.5669,72.642,79.54,72,58,9.6,broken clouds
291,Nenjiang,CN,49.1833,125.2167,8.64,77,28,12.64,scattered clouds
292,Coquimbo,CL,-29.9533,-71.3436,60.53,88,0,2.3,clear sky
293,Preobrazheniye,RU,42.9019,133.9064,22.19,42,9,8.39,clear sky
294,Khandyga,RU,62.6667,135.6,-34.06,93,67,0.4,broken clouds
295,Kipushi,CD,-11.7667,27.2333,60.62,97,100,5.79,overcast clouds
296,Adwa,ET,14.1646,38.8955,53.37,80,4,2.39,clear sky
297,Surt,LY,31.2089,16.5887,55.45,69,99,5.64,overcast clouds
298,Bonavista,CA,48.6499,-53.1147,17.29,68,77,10.67,broken clouds
299,Sergeyevka,KZ,53.88,67.4158,12.45,94,100,4.83,overcast clouds
300,Barcelona,ES,41.3888,2.159,51.55,60,0,4.0,clear sky
301,Sokoni,TZ,-6.4333,39.55,79.09,74,87,7.7,overcast clouds
302,Boca Do Acre,BR,-8.7522,-67.3978,73.33,98,100,0.76,overcast clouds
303,Taoudenni,ML,22.6783,-3.9836,64.81,20,93,11.95,overcast clouds
304,Isangel,VU,-19.55,169.2667,78.33,87,100,5.08,moderate rain
305,Hoa Binh,VN,20.8133,105.3383,75.09,58,31,6.08,scattered clouds
306,Bida,NG,9.0833,6.0167,70.32,26,2,4.43,clear sky
307,Panguna,PG,-6.3164,155.4848,77.27,77,100,3.09,moderate rain
308,Nixa,US,37.0434,-93.2944,34.21,71,83,3.0,broken clouds
309,Zhigansk,RU,66.7697,123.3711,-28.68,99,20,2.01,few clouds
310,Castelo Do Piaui,BR,-5.3222,-41.5525,70.56,96,99,2.66,very heavy rain
311,Biak,ID,-0.9131,122.8766,84.0,69,100,2.35,overcast clouds
312,Luganville,VU,-15.5333,167.1667,78.73,89,100,9.64,light rain
313,Havre-Saint-Pierre,CA,50.2334,-63.5986,17.56,69,100,18.34,overcast clouds
314,Saskylakh,RU,71.9167,114.0833,1.92,89,76,12.53,broken clouds
315,Upata,VE,8.0086,-62.3989,72.19,84,8,3.96,clear sky
316,Coihaique,CL,-45.5752,-72.0662,61.41,63,0,4.61,clear sky
317,Christchurch,NZ,-43.5333,172.6333,68.47,57,1,7.0,clear sky
318,Matane,CA,48.8286,-67.522,15.22,86,100,15.01,overcast clouds
319,Nuristan,AF,35.3,70.8333,21.61,65,84,3.76,broken clouds
320,Conceicao Da Barra,BR,-18.5933,-39.7322,74.07,94,0,5.12,clear sky
321,Guerrero Negro,MX,27.9769,-114.0611,63.43,55,100,4.92,overcast clouds
322,Milkovo,RU,54.7167,158.6167,18.91,94,100,5.12,light snow
323,Ilheus,BR,-14.7889,-39.0494,74.35,89,100,1.32,overcast clouds
324,Kahului,US,20.8947,-156.47,78.06,70,40,9.22,scattered clouds
325,Vao,NC,-22.6667,167.4833,79.0,81,100,18.41,light rain
326,Lima,PE,-12.0432,-77.0282,68.25,73,75,11.5,broken clouds
327,Aswan,EG,24.0934,32.907,43.57,55,37,10.8,scattered clouds
328,Praya,CV,14.9215,-23.5087,70.34,68,75,18.41,broken clouds
329,Akhmeta,GE,42.0311,45.2075,30.72,76,35,5.57,scattered clouds
330,Morristown,US,36.214,-83.2949,38.75,71,100,0.0,overcast clouds
331,Stanislav,UA,46.5691,32.1478,32.18,85,90,12.12,overcast clouds
332,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.09,99,99,0.6,light rain
333,Alyangula,AU,-13.8483,136.4192,86.56,69,100,9.01,overcast clouds
334,Mehamn,NO,71.0357,27.8492,24.75,93,75,6.91,broken clouds
335,San Antonio,US,29.4241,-98.4936,59.11,58,100,3.0,overcast clouds
336,Portland,US,45.5234,-122.6762,40.21,68,0,1.99,clear sky
337,Sitka,US,57.0531,-135.33,42.69,75,100,19.57,light rain
338,Boende,CD,-0.2167,20.8667,72.81,64,100,1.41,overcast clouds
339,Clyde River,CA,70.4692,-68.5914,-16.37,83,0,4.61,clear sky
340,Sosnogorsk,RU,63.6023,53.8817,4.08,96,100,5.66,overcast clouds
341,Luderitz,NA,-26.6481,15.1594,65.53,76,0,26.37,clear sky
342,Elbistan,TR,38.2059,37.1983,-6.09,96,69,0.2,broken clouds
343,Homer,US,59.6425,-151.5483,28.27,93,100,4.61,snow
